img,path_contorno,path_origin,is_good
064.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\064.JPEG,..\data_EP2/augmentedDataset\exponencial\064.JPEG,True
065.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\065.JPEG,..\data_EP2/augmentedDataset\exponencial\065.JPEG,True
066.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\066.JPEG,..\data_EP2/augmentedDataset\exponencial\066.JPEG,False
067.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\067.JPEG,..\data_EP2/augmentedDataset\exponencial\067.JPEG,True
068.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\068.JPEG,..\data_EP2/augmentedDataset\exponencial\068.JPEG,True
069.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\069.JPEG,..\data_EP2/augmentedDataset\exponencial\069.JPEG,False
070.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\070.JPEG,..\data_EP2/augmentedDataset\exponencial\070.JPEG,False
071.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\071.JPEG,..\data_EP2/augmentedDataset\exponencial\071.JPEG,False
072.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\072.JPEG,..\data_EP2/augmentedDataset\exponencial\072.JPEG,False
073.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\073.JPEG,..\data_EP2/augmentedDataset\exponencial\073.JPEG,True
074.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\074.JPEG,..\data_EP2/augmentedDataset\exponencial\074.JPEG,True
075.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\075.JPEG,..\data_EP2/augmentedDataset\exponencial\075.JPEG,True
076.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\076.JPEG,..\data_EP2/augmentedDataset\exponencial\076.JPEG,True
077.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\077.JPEG,..\data_EP2/augmentedDataset\exponencial\077.JPEG,False
078.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\078.JPEG,..\data_EP2/augmentedDataset\exponencial\078.JPEG,False
079.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\079.JPEG,..\data_EP2/augmentedDataset\exponencial\079.JPEG,True
080.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\080.JPEG,..\data_EP2/augmentedDataset\exponencial\080.JPEG,True
081.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\081.JPEG,..\data_EP2/augmentedDataset\exponencial\081.JPEG,True
082.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\082.JPEG,..\data_EP2/augmentedDataset\exponencial\082.JPEG,True
083.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\083.JPEG,..\data_EP2/augmentedDataset\exponencial\083.JPEG,False
084.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\084.JPEG,..\data_EP2/augmentedDataset\exponencial\084.JPEG,False
085.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\085.JPEG,..\data_EP2/augmentedDataset\exponencial\085.JPEG,True
086.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\086.JPEG,..\data_EP2/augmentedDataset\exponencial\086.JPEG,False
087.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\087.JPEG,..\data_EP2/augmentedDataset\exponencial\087.JPEG,False
088.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\088.JPEG,..\data_EP2/augmentedDataset\exponencial\088.JPEG,False
089.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\089.JPEG,..\data_EP2/augmentedDataset\exponencial\089.JPEG,False
090.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\090.JPEG,..\data_EP2/augmentedDataset\exponencial\090.JPEG,False
091.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\091.JPEG,..\data_EP2/augmentedDataset\exponencial\091.JPEG,False
092.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\092.JPEG,..\data_EP2/augmentedDataset\exponencial\092.JPEG,True
093.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\093.JPEG,..\data_EP2/augmentedDataset\exponencial\093.JPEG,False
094.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\094.JPEG,..\data_EP2/augmentedDataset\exponencial\094.JPEG,False
095.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\095.JPEG,..\data_EP2/augmentedDataset\exponencial\095.JPEG,False
096.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\096.JPEG,..\data_EP2/augmentedDataset\exponencial\096.JPEG,False
097.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\097.JPEG,..\data_EP2/augmentedDataset\exponencial\097.JPEG,False
098.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\098.JPEG,..\data_EP2/augmentedDataset\exponencial\098.JPEG,False
099.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\099.JPEG,..\data_EP2/augmentedDataset\exponencial\099.JPEG,False
100.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\100.JPEG,..\data_EP2/augmentedDataset\exponencial\100.JPEG,False
101.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\101.JPEG,..\data_EP2/augmentedDataset\exponencial\101.JPEG,False
102.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\102.JPEG,..\data_EP2/augmentedDataset\exponencial\102.JPEG,False
103.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\103.JPEG,..\data_EP2/augmentedDataset\exponencial\103.JPEG,False
104.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\104.JPEG,..\data_EP2/augmentedDataset\exponencial\104.JPEG,False
105.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\105.JPEG,..\data_EP2/augmentedDataset\exponencial\105.JPEG,False
106.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\106.JPEG,..\data_EP2/augmentedDataset\exponencial\106.JPEG,False
107.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\107.JPEG,..\data_EP2/augmentedDataset\exponencial\107.JPEG,False
108.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\108.JPEG,..\data_EP2/augmentedDataset\exponencial\108.JPEG,False
109.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\exponencial\gaussian_canny\109.JPEG,..\data_EP2/augmentedDataset\exponencial\109.JPEG,False
001.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\001.JPEG,..\data_EP2/augmentedDataset\laplaciano\001.jpeg,False
002.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\002.JPEG,..\data_EP2/augmentedDataset\laplaciano\002.jpeg,False
003.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\003.JPEG,..\data_EP2/augmentedDataset\laplaciano\003.jpeg,False
004.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\004.JPEG,..\data_EP2/augmentedDataset\laplaciano\004.jpeg,False
005.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\005.JPEG,..\data_EP2/augmentedDataset\laplaciano\005.jpeg,False
006.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\006.JPEG,..\data_EP2/augmentedDataset\laplaciano\006.jpeg,False
007.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\007.JPEG,..\data_EP2/augmentedDataset\laplaciano\007.jpeg,False
008.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\008.JPEG,..\data_EP2/augmentedDataset\laplaciano\008.jpeg,False
009.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\009.JPEG,..\data_EP2/augmentedDataset\laplaciano\009.jpeg,False
010.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\010.JPEG,..\data_EP2/augmentedDataset\laplaciano\010.jpeg,False
011.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\011.JPEG,..\data_EP2/augmentedDataset\laplaciano\011.jpeg,False
012.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\012.JPEG,..\data_EP2/augmentedDataset\laplaciano\012.jpeg,False
013.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\013.JPEG,..\data_EP2/augmentedDataset\laplaciano\013.jpeg,False
014.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\014.JPEG,..\data_EP2/augmentedDataset\laplaciano\014.jpeg,False
015.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\015.JPEG,..\data_EP2/augmentedDataset\laplaciano\015.jpeg,False
016.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\016.JPEG,..\data_EP2/augmentedDataset\laplaciano\016.jpeg,False
017.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\017.JPEG,..\data_EP2/augmentedDataset\laplaciano\017.jpeg,False
018.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\018.JPEG,..\data_EP2/augmentedDataset\laplaciano\018.jpeg,False
019.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\019.JPEG,..\data_EP2/augmentedDataset\laplaciano\019.jpeg,False
020.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\020.JPEG,..\data_EP2/augmentedDataset\laplaciano\020.JPEG,False
021.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\021.JPEG,..\data_EP2/augmentedDataset\laplaciano\021.JPEG,True
022.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\022.JPEG,..\data_EP2/augmentedDataset\laplaciano\022.JPEG,False
023.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\023.JPEG,..\data_EP2/augmentedDataset\laplaciano\023.JPEG,False
024.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\024.JPEG,..\data_EP2/augmentedDataset\laplaciano\024.JPEG,False
025.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\025.JPEG,..\data_EP2/augmentedDataset\laplaciano\025.JPEG,False
026.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\026.JPEG,..\data_EP2/augmentedDataset\laplaciano\026.JPEG,False
027.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\027.JPEG,..\data_EP2/augmentedDataset\laplaciano\027.JPEG,False
028.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\028.JPEG,..\data_EP2/augmentedDataset\laplaciano\028.JPEG,False
029.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\029.JPEG,..\data_EP2/augmentedDataset\laplaciano\029.JPEG,False
030.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\030.JPEG,..\data_EP2/augmentedDataset\laplaciano\030.JPEG,False
031.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\031.JPEG,..\data_EP2/augmentedDataset\laplaciano\031.JPEG,False
032.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\032.JPEG,..\data_EP2/augmentedDataset\laplaciano\032.JPEG,False
033.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\033.JPEG,..\data_EP2/augmentedDataset\laplaciano\033.JPEG,False
034.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\034.JPEG,..\data_EP2/augmentedDataset\laplaciano\034.JPEG,False
035.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\035.JPEG,..\data_EP2/augmentedDataset\laplaciano\035.JPEG,False
036.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\036.JPEG,..\data_EP2/augmentedDataset\laplaciano\036.JPEG,False
037.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\037.JPEG,..\data_EP2/augmentedDataset\laplaciano\037.JPEG,False
038.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\038.JPEG,..\data_EP2/augmentedDataset\laplaciano\038.JPEG,False
039.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\039.JPEG,..\data_EP2/augmentedDataset\laplaciano\039.JPEG,False
040.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\040.JPEG,..\data_EP2/augmentedDataset\laplaciano\040.JPEG,False
041.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\041.JPEG,..\data_EP2/augmentedDataset\laplaciano\041.JPEG,False
042.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\042.JPEG,..\data_EP2/augmentedDataset\laplaciano\042.JPEG,False
043.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\043.JPEG,..\data_EP2/augmentedDataset\laplaciano\043.JPEG,False
044.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\044.JPEG,..\data_EP2/augmentedDataset\laplaciano\044.JPEG,False
045.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\045.JPEG,..\data_EP2/augmentedDataset\laplaciano\045.JPEG,False
046.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\046.JPEG,..\data_EP2/augmentedDataset\laplaciano\046.JPEG,False
047.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\047.JPEG,..\data_EP2/augmentedDataset\laplaciano\047.JPEG,False
048.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\048.JPEG,..\data_EP2/augmentedDataset\laplaciano\048.JPEG,False
049.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\049.JPEG,..\data_EP2/augmentedDataset\laplaciano\049.JPEG,False
050.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\050.JPEG,..\data_EP2/augmentedDataset\laplaciano\050.JPEG,False
051.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\051.JPEG,..\data_EP2/augmentedDataset\laplaciano\051.JPEG,False
052.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\052.JPEG,..\data_EP2/augmentedDataset\laplaciano\052.JPEG,True
053.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\053.JPEG,..\data_EP2/augmentedDataset\laplaciano\053.JPEG,False
054.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\054.JPEG,..\data_EP2/augmentedDataset\laplaciano\054.JPEG,False
055.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\055.JPEG,..\data_EP2/augmentedDataset\laplaciano\055.JPEG,False
056.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\056.JPEG,..\data_EP2/augmentedDataset\laplaciano\056.JPEG,False
057.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\057.JPEG,..\data_EP2/augmentedDataset\laplaciano\057.JPEG,False
058.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\058.JPEG,..\data_EP2/augmentedDataset\laplaciano\058.JPEG,False
059.JPEG,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\059.JPEG,..\data_EP2/augmentedDataset\laplaciano\059.JPEG,False
060.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\060.JPEG,..\data_EP2/augmentedDataset\laplaciano\060.jpeg,False
061.jpeg,..\data_EP3\segmentedDataset\augmentedDataset\laplaciano\gaussian_canny\061.JPEG,..\data_EP2/augmentedDataset\laplaciano\061.jpeg,False
